Question Type,Technology,Difficulty,Question 
True/False,Angular,Hard,Angular is primarily used for backend development.
Coding,React,Hard,Build a React component that displays a list of items.
True/False,Java,Intermediate,"In Java, strings are mutable."
True/False,Ruby,Hard,Ruby is known for its performance in highly concurrent systems.
Essay,Node.js,Intermediate,Explain how Node.js handles asynchronous operations.
MCQs,Node.js,Hard,Which module in Node.js is used to handle file operations?
Essay,Ruby,Hard,Discuss the pros and cons of using Ruby on Rails for web development.
True/False,Java,Intermediate,"In Java, strings are mutable."
Essay,Ruby,Beginner,Discuss the pros and cons of using Ruby on Rails for web development.
MCQs,Go,Hard,What is the purpose of Goroutines in Go?
Coding,TypeScript,Hard,Create a TypeScript function that checks if a string is a palindrome.
Essay,Angular,Hard,Discuss the advantages of using Angular for front-end development.
Essay,C++,Hard,Explain the differences between stack and heap memory in C++.
Coding,Java,Hard,Write a Java program to check if a number is prime.
Coding,Node.js,Beginner,Write a Node.js script to read a file and log its contents.
Essay,Java,Hard,Discuss the advantages and disadvantages of using Java in enterprise applications.
MCQs,TypeScript,Hard,How is TypeScript different from JavaScript?
Coding,TypeScript,Hard,Create a TypeScript function that checks if a string is a palindrome.
Coding,TypeScript,Beginner,Create a TypeScript function that checks if a string is a palindrome.
Coding,TypeScript,Beginner,Create a TypeScript function that checks if a string is a palindrome.
MCQs,TypeScript,Beginner,How is TypeScript different from JavaScript?
MCQs,React,Beginner,Which hook is used to manage state in functional components?
True/False,JavaScript,Beginner,JavaScript is a statically typed language.
True/False,Ruby,Intermediate,Ruby is known for its performance in highly concurrent systems.
Coding,C++,Hard,Implement a C++ function to sort an array using the bubble sort algorithm.
Coding,Go,Hard,Write a Go program to handle concurrent tasks using Goroutines.
True/False,React,Hard,React uses a virtual DOM to improve performance.
Essay,React,Beginner,Explain how React's component lifecycle works and its significance.
True/False,Python,Beginner,Python supports multiple inheritance.
Essay,Java,Beginner,Discuss the advantages and disadvantages of using Java in enterprise applications.
Essay,Java,Hard,Discuss the advantages and disadvantages of using Java in enterprise applications.
Essay,Node.js,Hard,Explain how Node.js handles asynchronous operations.
Essay,TypeScript,Beginner,Discuss the benefits of using TypeScript in large-scale applications.
Coding,React,Hard,Build a React component that displays a list of items.
Coding,Ruby,Hard,Write a Ruby method to calculate the Fibonacci sequence.
MCQs,C++,Beginner,Which operator is used to allocate memory dynamically in C++?
MCQs,Ruby,Intermediate,What is a block in Ruby?
Coding,C++,Hard,Implement a C++ function to sort an array using the bubble sort algorithm.
True/False,Python,Hard,Python supports multiple inheritance.
Coding,Ruby,Intermediate,Write a Ruby method to calculate the Fibonacci sequence.
Essay,Ruby,Beginner,Discuss the pros and cons of using Ruby on Rails for web development.
True/False,JavaScript,Beginner,JavaScript is a statically typed language.
MCQs,TypeScript,Beginner,How is TypeScript different from JavaScript?
Essay,Angular,Beginner,Discuss the advantages of using Angular for front-end development.
MCQs,Java,Beginner,What is the purpose of the 'final' keyword in Java?
MCQs,Go,Intermediate,What is the purpose of Goroutines in Go?
MCQs,React,Beginner,Which hook is used to manage state in functional components?
True/False,Ruby,Beginner,Ruby is known for its performance in highly concurrent systems.
True/False,JavaScript,Hard,JavaScript is a statically typed language.
Essay,Angular,Hard,Discuss the advantages of using Angular for front-end development.
MCQs,JavaScript,Intermediate,What is 'this' keyword in JavaScript?
MCQs,Python,Hard,Which of the following is the correct way to define a function in Python?
True/False,JavaScript,Beginner,JavaScript is a statically typed language.
True/False,Node.js,Hard,"Node.js uses an event-driven, non-blocking I/O model."
MCQs,Go,Beginner,What is the purpose of Goroutines in Go?
Essay,C++,Intermediate,Explain the differences between stack and heap memory in C++.
Essay,Java,Beginner,Discuss the advantages and disadvantages of using Java in enterprise applications.
MCQs,Go,Hard,What is the purpose of Goroutines in Go?
Coding,Python,Intermediate,Write a Python function to find the factorial of a number.
True/False,JavaScript,Beginner,JavaScript is a statically typed language.
MCQs,TypeScript,Hard,How is TypeScript different from JavaScript?
True/False,React,Beginner,React uses a virtual DOM to improve performance.
Essay,Go,Hard,Explain the concept of concurrency in Go and how it differs from parallelism.
True/False,Ruby,Beginner,Ruby is known for its performance in highly concurrent systems.
True/False,Go,Beginner,Go was developed by Google.
MCQs,JavaScript,Intermediate,What is 'this' keyword in JavaScript?
Coding,C++,Beginner,Implement a C++ function to sort an array using the bubble sort algorithm.
Essay,Ruby,Beginner,Discuss the pros and cons of using Ruby on Rails for web development.
Coding,Ruby,Beginner,Write a Ruby method to calculate the Fibonacci sequence.
Coding,Java,Intermediate,Write a Java program to check if a number is prime.
True/False,Java,Beginner,"In Java, strings are mutable."
Essay,Node.js,Hard,Explain how Node.js handles asynchronous operations.
Coding,TypeScript,Beginner,Create a TypeScript function that checks if a string is a palindrome.
Coding,JavaScript,Beginner,Write a function to reverse a string in JavaScript.
True/False,C++,Intermediate,C++ allows function overloading.
MCQs,TypeScript,Intermediate,How is TypeScript different from JavaScript?
MCQs,Python,Intermediate,Which of the following is the correct way to define a function in Python?
Coding,Java,Hard,Write a Java program to check if a number is prime.
True/False,Java,Intermediate,"In Java, strings are mutable."
